corename,latitude,longitude,wdepth,sdepth,mgca,clean,size_lower,size_upper,omega,pH,t_annual,s_annual,t_seasonal,s_seasonal,grid_lat,grid_lon,include,species,reference1,reference2,reference_link1,reference_link2,omega_inv_sq,clean_method
KNR177-MC31a,65.5,-4.7,3873,0.5,1.09,1,255,355,1.099066257,8.145975113,6.262790203,35.00198746,8.613043785,35.00842667,65.5,-4.5,1,incompta,Morley2017,,https://doi.org/10.1002/2017GC007111,,0.827851139,reductive
KNR177-MC31b2,65.5,-4.7,3873,0.5,1.31,1,255,355,1.099066257,8.145975113,6.262790203,35.00198746,8.613043785,35.00842667,65.5,-4.5,1,incompta,Morley2017,,https://doi.org/10.1002/2017GC007111,,0.827851139,reductive
KNR177-MC31b2,65.5,-4.7,3873,0.5,1.14,1,150,255,1.099066257,8.145975113,6.262790203,35.00198746,8.613043785,35.00842667,65.5,-4.5,1,incompta,Morley2017,,https://doi.org/10.1002/2017GC007111,,0.827851139,reductive
KNR177-MC31b5,65.5,-4.7,3873,0.5,1.2,1,150,255,1.099066257,8.145975113,6.262790203,35.00198746,8.613043785,35.00842667,65.5,-4.5,1,incompta,Morley2017,,https://doi.org/10.1002/2017GC007111,,0.827851139,reductive
KNR177-MC31d,65.5,-4.7,3873,0.5,1.21,1,150,255,1.099066257,8.145975113,6.262790203,35.00198746,8.613043785,35.00842667,65.5,-4.5,1,incompta,Morley2017,,https://doi.org/10.1002/2017GC007111,,0.827851139,reductive
KNR195-5 MC42C,-1.253,-89.6855,615,0.16,3.0079,1,250,300,1.113209248,8.009391785,23.23299026,34.61400986,24.9185702,34.51250203,-1.5,-89.5,1,ruber_w,Rustic2015,,http://doi.org/10.1126/science.aac9937,,0.806949559,reductive
KNR64-5PG,16.522,-74.807,3047,8.5,4.27,1,250,350,1.365920663,8.097722054,27.70878983,35.70238876,27.7087841,35.7023557,16.5,-74.5,1,ruber_w,Dekens2002,,http://dx.doi.org/10.1029/2001GC000200,,0.535980575,reductive
KNR64-5PG,16.522,-74.807,3047,8.5,3.68,1,250,350,1.365920663,8.097722054,27.70878983,35.70238876,27.7087841,35.7023557,16.5,-74.5,1,sacculifer,Dekens2002,,http://dx.doi.org/10.1029/2001GC000200,,0.535980575,reductive
KNR73-3PC,-0.373,-106.178,3606,5.5,2.05,1,250,350,0.910700083,8.046700478,24.01679993,34.76358795,24.01679007,34.76355902,-0.5,-106.5,1,sacculifer,Dekens2002,,http://dx.doi.org/10.1029/2001GC000200,,1.205727726,reductive
KY07-04-PC1,31.63,128.95,758,6.25,3.5,0,250,355,1.21932137,8.118499756,22.39230919,34.09481049,25.66184648,33.57321548,31.5,128.5,1,ruber_w,Kubota2010,,http://doi.org/10.1029/2009PA001891,,0.672610479,non_reductive
LCD-01-2,62.00031667,-15.99918333,2255,0.25,1.15,1,255,355,1.502554178,8.132933617,9.413909912,35.17908859,9.413916508,35.17908128,62.5,-15.5,1,incompta,Morley2017,,https://doi.org/10.1002/2017GC007111,,0.442934715,reductive
LCD-01-5,62.00031667,-15.99918333,2255,0.25,1.03,1,150,255,1.502554178,8.132933617,9.413909912,35.17908859,9.413916508,35.17908128,62.5,-15.5,1,incompta,Morley2017,,https://doi.org/10.1002/2017GC007111,,0.442934715,reductive
LCD-01a,62.00031667,-15.99918333,2255,0.25,1.22,1,255,355,1.502554178,8.132933617,9.413909912,35.17908859,9.413916508,35.17908128,62.5,-15.5,1,incompta,Morley2017,,https://doi.org/10.1002/2017GC007111,,0.442934715,reductive
LCD-01b,62.00031667,-15.99918333,2255,0.25,1.12,1,255,355,1.502554178,8.132933617,9.413909912,35.17908859,9.413916508,35.17908128,62.5,-15.5,1,incompta,Morley2017,,https://doi.org/10.1002/2017GC007111,,0.442934715,reductive
LCD-01e,62.00031667,-15.99918333,2255,0.25,1.1,1,255,355,1.502554178,8.132933617,9.413909912,35.17908859,9.413916508,35.17908128,62.5,-15.5,1,incompta,Morley2017,,https://doi.org/10.1002/2017GC007111,,0.442934715,reductive
LCD-03-3c,63.366,-16.628,240,0.25,1.02,1,150,255,2.700624228,8.139286995,9.163809776,35.17548752,9.163815856,35.1754481,63.5,-15.5,1,incompta,Morley2017,,https://doi.org/10.1002/2017GC007111,,0.137110805,reductive
LCD-03-3d,63.366,-16.628,240,0.25,1.09,1,150,255,2.700624228,8.139286995,9.163809776,35.17548752,9.163815856,35.1754481,63.5,-15.5,1,incompta,Morley2017,,https://doi.org/10.1002/2017GC007111,,0.137110805,reductive
LCD-03-3e,63.366,-16.628,240,0.25,1.09,1,150,255,2.700624228,8.139286995,9.163809776,35.17548752,9.163815856,35.1754481,63.5,-15.5,1,incompta,Morley2017,,https://doi.org/10.1002/2017GC007111,,0.137110805,reductive
LCD-03-3f,63.366,-16.628,240,0.25,1.03,1,150,255,2.700624228,8.139286995,9.163809776,35.17548752,9.163815856,35.1754481,63.5,-15.5,1,incompta,Morley2017,,https://doi.org/10.1002/2017GC007111,,0.137110805,reductive
LCD-03-3g,63.366,-16.628,240,0.25,1.07,1,150,255,2.700624228,8.139286995,9.163809776,35.17548752,9.163815856,35.1754481,63.5,-15.5,1,incompta,Morley2017,,https://doi.org/10.1002/2017GC007111,,0.137110805,reductive
LCD-03-3h,63.366,-16.628,240,0.25,1.04,1,150,255,2.700624228,8.139286995,9.163809776,35.17548752,9.163815856,35.1754481,63.5,-15.5,1,incompta,Morley2017,,https://doi.org/10.1002/2017GC007111,,0.137110805,reductive
LCD-03-3i,63.366,-16.628,240,0.25,1.02,1,150,255,2.700624228,8.139286995,9.163809776,35.17548752,9.163815856,35.1754481,63.5,-15.5,1,incompta,Morley2017,,https://doi.org/10.1002/2017GC007111,,0.137110805,reductive
LCD-03-5,63.366,-16.628,240,0.25,1.06,1,150,255,2.700624228,8.139286995,9.163809776,35.17548752,9.163815856,35.1754481,63.5,-15.5,1,incompta,Morley2017,,https://doi.org/10.1002/2017GC007111,,0.137110805,reductive
